YEAR,FIRES,ACRES
1987,13476,873000
1988,13290,345000
1989,10024,173400
1990,10548,365200
1991,9609,44200
1992,12047,282745
1993,8689,309779
1994,10269,526219
1995,8492,209815
1996,10610,752372
1997,9502,283885
1998,7572,215412
1999,11125,1172850
2000,7622,295026
2001,9317,377340
2002,8171,538216
2003,8287,965770
2004,7898,311024
2005,7237,279214
2006,7855,863345
2007,6043,1520362
2008,6255,1593690
2009,7010,451969
2010,6394,134462
2011,7732,228599
2012,7041,829224
2013,8889,601635
2014,7233,625540
2015,8283,880899
2016,6959,669534
2017,9270,1548429
2018,7948,1975086